gobierno_local_nombre,gobierno_local_tipo,autoridad_nombre,autoridad_tipo,telefono_institucional,dirección_institucional,email_institucional,URL_institucional
Dique Florentino Ameghino,Comuna,Azparre Cristal,Presidente Comunal,280-4490315,,comunarural.dfameghino@chubut.gov.ar,www.florentino-ameghino.gov.ar
Dolavon,Municpio,Bowen Dante Martin,Intendente,280-4492052,Av. Julio A. Roca 188,municipalidaddedolavon@infovia.com.ar,
Dr. Atilio Viglione,Comuna,Cardozo Andres Benito,Interventor,2945-431346,,,
Dr. Ricardo Rojas,Comuna,Villegas Néstor Jorge,Presidente Comunal,2903-490235,Escalada S/N,ricardorojas@chubut.gov.ar,
El Hoyo,Municpio,Szudruk Mirco,Intendente,2944-471504,Av. Islas Malvinas S/N,intendencia@elhoyo.gov.ar,
El Maiten,Municpio,Currilen Oscar Rubén,Intendente,2945-495150,Av. San Martin y Córdoba,municipalidaddeelmaiten@gmail.com,
Epuyen,Municpio,Reato Antonio,Intendente,2945-499040,Av. Los Cóndes S/N,epuyen@elbolson.com,www.epuyen.gov.ar
Esquel,Municpio,Ongarato Sergio,Intendente,2945-451921,Mitre 524,mentradas@esquel.gov.ar,www.esquel.gov.ar
Facundo,Comuna,Prieto Liliana Elena,Presidente Comunal,2903-490310,,facundo@chubut.gov.ar,
Gaiman,Municpio,Aranibar Garcia Mariano,Intendente,280-4491014,Plaza Julio A. Roca S/N,mgaiman@ar.inter.net ,www.gaiman.gov.ar
Gan Gan,Comuna,Sepúlveda Ricardo,Presidente Comunal,280-4490440,Sarmiento y Av. Montenegro,gangan@chubut.gov.ar,
Gastre,Comuna,Bernardino Vicente Jara,Presidente Comunal,280-4490535,Pirrén Mahuida y Michay,comunaruralgastre@chubut.gov.ar,
Gobernador Costa,Municpio,Hugo Masiel Carrasco,Intendente,2945-491060,Av. Julio A. Roca S/N,municipalidadgobernadorcosta@hotmail.com,
Gualjaina,Municpio,Limarieri Marcelo Horacio,Intendente,2945-479150,Av. Fernandez S/N,munigualjaina@yahoo.com.ar,
Jose de San Martin,Municpio,Calpanchay Rubén Osvaldo,Intendente,2945-496010,Manuel Belgrano y Av. José de San Martín,,
Lago Blanco,Comuna,Montiel Cruz,Presidente Comunal,2903-490414,Av. Hamer Hito 50 Calafate,lagoblanco@chubut.gov.ar,
Lago Puelo,Municpio,Ibarra Raul Anibal,Intendente,2944-499082,2 de Abril S/N,munilagopuelo@elbolson.com,
Laguita Salada,Comuna,Ancamil Miguel,Presidente Comunal,280-4490720,,lagunitasalada@chubut.gov.ar,
Las Plumas,Comuna,Tolosa Nilda América,Presidente Comunal,280-4490810,Av. San Martín S/N,comunarurallasplumas@hotmail.com,
Paso de Indios,Municpio,Pichiñan Horacio Mario,Intendente,280-4497259,Mza 3 Lote D Plano 1,pasodeindios@hotmail.com,
Paso del Sapo,Comuna,Candia Victor,Presidente Comunal,2945-479938,Ruta Prov. 12,pasodelsapo@chubut.gov.ar,
Puerto Madryn,Municpio,Sastre Ricardo Daniel,Intendente,280-4453482,Belgrano 206,municipio@madryn.gov.ar,www.madryn.gov.ar
Puerto Piramide,Municpio,Roldan Eduardo Javier,Intendente,280-4495000,Av. Ballenas S/N,ballenafranca@puertopiramides.gov.ar,www.puertopiramides.gov.ar
Rada Tilly ,Municpio,Juncos Luis Emilio,Intendente,297-4451134,Fragata 25 de Mayo 94,gobierno@radatilly.com.ar,www.radatilly.gov.ar
Rawson,Municpio,Artero Rossana,Intendente,280-4481990,Mariano Moreno 650,turismo@playaunion.gov.ar,www.rawson.gov.ar
Río Mayo,Municpio,Salazar Pablo Gabriel,Intendente,2903-420047,Belgrano 585,municipalidadrm@hotmail.com,
Río Pico,Municpio,Machado Marcos Gustavo,Intendente,2945-492011,Av. San Martin S/N,adm.contablerp@hotmail.com.ar,
Sarmiento,Municpio,Britapaja Ricardo Alberto,Intendente,297-4893401,San Martin 722,intendencia@coloniasarmiento.gov.ar,http://www.coloniasarmiento.gov.ar/
Tecka,Municpio,Flor Librada Carriqueo,Intendente,2945-493011,Av. San Martin S/N,municipalidaddetecka@yahoo.com.ar,
Telsen,Comuna,Ricardo Mazzulla,Presidente Comunal,280-4499310,Juan Vilches 21 Mza 20,telsen@chubut.gov.ar,
Trelew,Municpio,Maderna Adrián,Intendente,280-4427910,Rivadavia 390,info@trelew.gov.ar,www.trelew.gov.ar
Trevelin,Municpio,Aleuy Gustavo Omar,Intendente,2945-480145,San Martin 329,municipiotrevelin@ciudad.com.ar,www.trevelin.gob.ar
