Marca temporal,Barrio,Descripción de los daños o asistencia solicitada,categorias
4/3/2017 12:47:07,Juan XXIII, Materiales para construir mi casa mi casa no sirve más mil gracias las cosas heladera cosina mubles quedaron bajo agua pero eso no me importa nesecito materiales nada mas ,edilicio - mobiliario - electrodomesticos
4/3/2017 12:48:29,Bella vista norte ,Humedad total en toda la casa y perdida de articulos ,filtraciones - mobiliario
4/3/2017 12:49:18,Jose Fuchs ,Tengo todo pasado a humedad me entro agua x todos lados,filtraciones - inundación con agua
4/3/2017 12:49:21,Las Orquideas,Perdi mi auto le entro agua al motor y no arranca mas,vehiculo
4/3/2017 12:52:04,Los Arenales,"El agua se fue comiendo toda la vereda hasta quedar el cerco de la casa en el aire, además no puedo retirar vehículos devido a los zanjones que quedo en la calle ",inmediaciones afectadas - peligro de desmoronamiento
4/3/2017 12:54:08,San Martin oeste,"Filtraciones de agua en las paredes y techo, partes del cielo raso se han caído. Manchas de humedad por toda la casa",filtraciones - desplome
4/3/2017 12:54:38,Standar Norte,"desmoronamiento completo del techo del baño,  filtración de agua constante  en el interior de la casa por medianeras, goteras en techos.",desplome - filtraciones
4/3/2017 12:55:38,Pietrobelli,"Daño en pardes y techo, dañadas por la humedad y agua que corrio. Se desplazo la vereda dejando un grieta de 30 cm en la entrada de la casa",inundacion con agua - inmediaciones afectadas
4/3/2017 12:55:42,Pietrobeli,C l colgo la casa no puede habitarla sin gas y sin luz c l cayo el cerro ,perdida total - servicios púbicos
4/3/2017 12:55:57,Km 17,Interior y exterior de vivienda,edilicio - mobiliario - electrodomesticos - inmediaciones afectadas
4/3/2017 12:57:58,Juan XXIII,"Daños de camas y colchones, heladera, lavarropas, ropa, sillon. Todavia tenemos medio metro de agua adentro de casa",inundacion con agua - electrodomesticos - mobiliario
4/3/2017 12:58:05,Moure,Perdí cama heladera muebles frizzee termotanque ropa televisor.. el agua entre a un metro adentro de la casa porfavor si me pueden ayudar muchas grasias ,inundacion con agua - electrodomesticos - mobiliario
4/3/2017 13:00:10,Malvinas Argentinas. Loteo 3 pinos,alud en mi terreno más de un metro de barro . sacó alambrados . rompió el frente.... se llevó todo el jardín.....todo quedó sepultado bajo el barro,inmediaciones afectadas
4/3/2017 13:01:37,San Martin,Viviendas precarias con peligro a derrumbe,peligro de desmoronamiento
4/3/2017 13:01:53,San Martin,Viviendas precarias con peligro a derrumbe,peligro de desmoronamiento
4/3/2017 13:05:33,Rene favaloro km14,Igreso 40 mm de agua con barro . Se me rompio el techo . Cielorrazo . Baño. living . Los dormitorios y cocina . Es de madera mi casa . Se me rompio la coneccion de luz . Necesitaria materiales ,inundación con barro - desplome - edilicio - servicios publicos
4/3/2017 13:06:05,Standard norte ,Se desplomo el techo de durlock del baño por tener una abertura importante en el techo a dos aguas de la cada del IPV,desplome
4/3/2017 13:06:44,San Martin ,Se a pasado todo mi losa me goteo x todos lados y la pared se me esta cayendo de apoco x la misma humedad y el dormitorio de mis hijas igual ya qu vivo sola con mis 5 hijos  gracias ,filtraciones - edilicio
4/3/2017 13:11:17,Stanfard norte,Esa manta plateada para colocar en una parte de la chapa para q no siga goteando el techo es sobre una pared ,filtraciones
4/3/2017 13:15:28,Rada Tilly,"Entro agua de la calle y cloaca, unos 50cm. Se perdió lavarropas, televisor, muebles, colchones.",inundacion con agua - desborde de cloacas - mobiliario - electrodomesticos
4/3/2017 13:18:52,Jorge Newbery,Desplazamiento de terreno en ambos costados con peligro de derrumbe de vivienda. Se necesitan dos muros de contención ya que están afectadas 3 propiedades.,peligro de desmoronamiento
4/3/2017 13:20:10,Maximo abasalo,Se me mojo todo perdi toda la pieza se cayo el techo y se mojo las paredes completa.  En la cocina se llovio el techo y se me quemo los cables de luz . ..necesitamos contruir nuestra casita somos un matrimonio mi marido es Mauro torres de 25 años y yo tengo 20 tenemos una hija de 3 años.  El celular que deje es de mi mama andrea pot qur no tenemos celulares . Necesitamos chapas alimento leña ropa colchones frazada.  Dormimos en el piso. ,perdida total - servicios púbicos
4/3/2017 13:20:46,Extensión Stella maris ,Daños totales ,perdida total
4/3/2017 13:21:24,Las flores,,
4/3/2017 13:23:03,General Mosconi ,Se inundaron las piezas mojaron cochones ropa de cama placares de los chicos ropa de cama ,inundacion con agua - mobiliario
4/3/2017 13:23:54,Las Flores,Se nos esta desprendiendo el suelo de la casa que esta sobre un alto. Se nos desprendio todas las maderas de la fachada de la casa. El agua mojo todo el durlock del interior de la vivienda.,edilicio - peligro de desmoronamiento
4/3/2017 13:24:12,km 5,Se me cayó el techo,desplome
4/3/2017 13:26:39,Pueyrredon,Inundación domiciliaria pérdidas totales un bebé de 1 año,perdida total - inundacion con agua
4/3/2017 13:26:53,Ceferino,Tengo el terreno en caída y entra Agua en casa me falta cerco de un costado y la contención existente cedio ,peligro de desmoronamiento - inundacion con agua
4/3/2017 13:28:30,Isidro 1uiroga,Mi casa se inundo y tengo el techo q puede caerse necesito ayuda para poder arreglarlo materiales .mano de obra ya tengo ,inundacion con agua - desplome
4/3/2017 13:29:10,Jorge newbery ,"Colchones frazadas se me mojaron, 2 chapa durlock para el techo que se me cayo ",desplome - mobiliario
4/3/2017 13:30:02,30 de Octubre,Rajaduras de paredes y muebles de cocina destruido.  Móvimiento de terrenos puertas trabada ,edilicio - mobiliario - peligro de desmoronamiento
4/3/2017 13:30:24,Pueyrredon,"Colchon 2 plazas,televisor, Jgo  sillones,heladera,cocina, bajo mesada ",mobiliario - electrodomesticos
4/3/2017 13:31:22,Standart sur,El techo es mucho lo que se nos filtra el agua por las paredes y el agua baja por el techo mucho... La puerta la abrió toda la humedad,filtraciones
4/3/2017 13:31:47,zona de quinta,Me entro agua me aruino colchones me migo td mi poca comida y me aruino la ropita de mi bebe q tiene 1 mes. SI me pueden ayudar xfabos les agradesere decorazon vivo muy mal yo cn mi señora e hijo ,inundacion con agua
4/3/2017 13:32:11,Standart sur,El techo es mucho lo que se nos filtra el agua por las paredes y el agua baja por el techo mucho... La puerta la abrió toda la humedad. Somos 5 en una casa pequeña yo sufro de discapacidad y mi hija vive con sus 3nenes uno de dos meses en mi casa,filtraciones
4/3/2017 13:34:47,Centro,"Rajaduras en paredes de patio cerrado con entrada de agua y dormitorios, en un dormitorio entrada de agua ",edilicio - filtraciones
4/3/2017 13:35:21,Tres pinos manzana 26 no tenemos salida,,
4/3/2017 13:36:54,zona de quinta 2 ,Xfabor me pueden ayudar gracias se me pueden ayudar Ai esta mi number xfa ayudenmeen ASI puedo vivir tranquili y en paz xfa vivo cn m hijo y mi señoraaa solo Trabajo de changas no MAs xa Una Manito xfaaa gracias,
4/3/2017 13:37:43,Cordon forestal. Loteo simon,Casa con peligro de derrumbe. Muro de contencion caido. Roturas de caños cloacales y cañeria de gas.  Techo de la parte de adentro durlock caido. Solicito asistencia inmediata,peligro de desmoronamiento - desplome - edilicio - servicios publicos
4/3/2017 13:38:52,Laprida,Barro en la calle me impide salir d mi casa,inmediaciones afectadas
4/3/2017 13:39:57,Loma,Mampostería techo completa pisos de habitación principal y habitación secundaria cama ,edilicio - mobiliario
4/3/2017 13:40:18,30 de octubre,Ingreso de 60 cm de agua dentro de  depto cn daños en muebles y electrodomésticos  y auto ,inundacion con barro - mobiliario - electrodomesticos - vehiculo
4/3/2017 13:42:20,Máximo abasolo,Techo ,desplome
4/3/2017 13:45:07,,Entró agua por puertas ventanas y goteras . Mi casa es prefabricada el hardbord se echo a perder por el agua quedó todo hinchado y con mucha humedad ,inundacion con agua - filtraciones
4/3/2017 13:46:52,Pueyrredon,se perdió TODO sólo se recuperó algo de ropa,perdida total
4/3/2017 13:48:35,Estandart Norte ,Filtraciones en una habitación y el baño,filtraciones
4/3/2017 13:48:54,Jose Fuchs,Cielorrasos caídos en baño y pasillo Deteriorados totalmente,desplome - edilicio
4/3/2017 13:50:01,Km 8 Standart norte ,Nos inundamos 60 cm dentro de casa con desborde de cloaca hacia adentro.. bueno todo lo que está en una casa..heladera freezer cocina. Camas somieres placares sillones electrodomésticose y demás..,inundacion con agua - cloacales - mobiliario - electrodomesticos
4/3/2017 13:51:51,Juan XXIII,"Frente a casa y casi todo el barrio, con un metro de barro en.las calles. Imposible salir y circular, solicitamos maquinas y camiones para limpiar las calles, ",aislamiento de vivienda
4/3/2017 13:52:02,Extension maximo abasolo,"Mi problema fue en el baño, y un dormitorio, solo tengo  chapas y sin sustento abajo por eso m entro mucha agua y cayo al living y cocina una enorme cantidad de agua,  nesecito 4 chapas canatetas y unos 12 tirantes o alfajias para levantar y voler a hacerlo y chapa harbol o durlok, mjchas gracias espero su reapuesta",inundacion con agua  - edilicio
4/3/2017 13:52:35,Ameghino nuevo,"Pisos flotantes arruinados d dos habitaciones, pintura ,revoque etc de las paredes afectadas y techo de durlox, muebles de dos habitaciones,somiers,pared estructural afectada con grieta en la misma,filtraciones varias q afectaron paredes, ropa etc",edilicio - mobiliario
4/3/2017 13:54:21,Pueyrredon,Perdida total.,perdida total
4/3/2017 13:54:23,97 viviendas Standart Norte,Techo del baño y pieza ,desplome
4/3/2017 13:55:39,Juan XXIII,Maquinas viales para sacar el barro de las calles y poder salir de las casas,aislamiento de vivienda
4/3/2017 13:56:28,30 de octubre,"Edificio 11 dpto A sector 1 planta baja. Inundado total , por entrar agua por el temporal. ",inundacion con agua
4/3/2017 13:56:45,Floresta ,Se me mete el barro a la casa .. cada ves que llueve y gustaría una solución  .. ,inundacion con barro 
4/3/2017 13:56:58,Standart norte km 8,"El techo de mi ksa se cayó por las lluvias ""Necesito q vengan a ver Cómo kedo mi ksa y se filtró mucha humedad se me cayó el cielo razo d durlok tengo 3 nenes y uno es 7 mesino y sufre de problemas respiratorio
""",desplome
4/3/2017 13:57:49,Don Bosco,Cielo rraso del los dormitorios x donde ingreso agua mal.por donde esta el tanque de agua cielo rraso del pasillo.y baño. Por la puerta de la cosina y puerta del frente de la casa fueron los lugares claves donde ingreso el agua.,desplome - inundacion con agua
4/3/2017 13:58:06,B° paso nuevo km3 ,"Roturas  parte cielo raso. De una habitacion
humedad en paredes con Pintur a levantada ya reparada por inundación anterior pérdida completa de muebles y artefactos eléctrico de uso  rotura de puerta de ingreso de mi domicilio",desplome - edilicio - mobiliario - electrodomesticos
4/3/2017 13:59:32,Puyrredon,Perdida total de amoblamientos y vehiculo,mobiliario - vehiculo
4/3/2017 13:59:49,Pietrobelli,Casa de material y chapa 3 piezas se estan por caer abajo paredes techos ,peligro de desmoronamiento - edilicio
4/3/2017 14:00:01,Barrio san cayetano,Daño sobre techo baño y pasillo.. con la caida del mismo .destrucción del baño.. ,desplome
4/3/2017 14:00:04,Juan xxIII,Totales,perdida total
4/3/2017 14:01:04,Pueyrredon,Paredes y techos húmedos,filtraciones
4/3/2017 14:01:31,Juan XXIII,"2 Muebles,heladera,sillon, electrodomesticos y alimentos",mobiliario - electrodomésticos
4/3/2017 14:01:44,Laprida,Pérdida total de vivienda,perdida total
4/3/2017 14:02:42,Castelli este,Filtraciones varias en techos vivienda IPV,filtraciones
4/3/2017 14:04:01,Pietrobelli,Casa de material y chapa 3 piezas se estan por caer abajo paredes techos  . Entra mucha agua los dias de lluvia mil gracias.,peligro de desmoronamiento - edilicio
4/3/2017 14:04:00,roque gonzalez,Se lavo toda la tierra del costado d mi casa y deja colgada la casa .. Lavo toda la tierra del muro d contemcion ,peligro de desmoronamiento - edilicio
4/3/2017 14:04:34,Km17,Daños dentro de la casa con agua barro ,inundacion con barro
4/3/2017 14:05:22,30 de Octubre,"El departamento estuvo con 50 cm de agua , los daños están en la humedad de sus paredes y pisos levantados ",inundacion con agua - edilicio
4/3/2017 14:05:43,Ceferino Namuncura,Desmoronamiento de paredon con peligro derrumbe de la vivienda y daños al vecino de abajo,peligro de desmoronamiento
4/3/2017 14:05:52,Abel amaya,"La heladera rota, no funciona, mueble para platos y alacena podrido.",elecctrodomesticos - mobiliario
4/3/2017 14:06:02,JUAN XXIII,Pérdidas totales . . Colchones sillones calefactores heladera Lavarropa ropa bajo mesada placares.  ,mobiliario - electrodomésticos
4/3/2017 14:06:05,La floresta,Se rompieron los cercos     y las chapas de las parades del dormitorio  ,edilicio - inmediaciones afectadas
4/3/2017 14:06:29,176 vivien standar norte,"cielorrazo baño,dormitorio,comedor.paredes de los mismos! baño paredes,techo de quincho,paredes del mismo.auto barro en el interior",edilicio - vehiculo
4/3/2017 14:07:24,Pueyrredon ,,
4/3/2017 14:07:25,km 14,retroescavadora para liberar calles y camiones para desagotar pozos,inmediaciones afectadas - cloacales
4/3/2017 14:07:40,Las Flores ,Tenemos un peligro de derrumbe del  cerro se esta viniendo sobre la casa se necesita ayuda para sacar tierra!!!!,peligro de desmoronamiento
4/3/2017 14:07:41,Laprida ,Cielo razó  por caerse .. todavía con goteras...frente de la casa con barro...no.contamos con calefaccion..casa precaria ,edilicio - desplome
4/3/2017 14:08:05,Moure ,Ropas de los chicos colchones  brazadas . y mercadería ,mobiliario
4/3/2017 14:09:14,General mosconi,"Se lleno de agua la casa a 1.3 m y se perdio yodos los muebles, calefactores todo.",inundacion con agua - mobiliario - electrodomesticos
4/3/2017 14:10:08,Juan XXIII,Medio metro de barro en toda la casa ,inundacion con barro
4/3/2017 14:10:42,Juan XXIII,"Calle anegada con barro. 50 cm agua dentro del hogar. Falta de colchones. Zapatillas hombre 44,40. Gas anda intermitentemente. Cloaca saturada. Sin servicio telefónica. Necesidad de agua potable.",inundacion con barro - cloacales - inmediaciones afectadas - servicios publicos
4/3/2017 14:10:53,Fraccion 15,Chapa y para calzar un pozo necesito,edilicio - desplome
4/3/2017 14:10:54,Juan XXIII,Daños materiales en el domicilio. Evacuados. ,edilicio - desplome
4/3/2017 14:11:21,Km 3,"Caída de muro trasero de la casa, aplastamiento de vehículos. Greda y agua llegando a la casa que viene directo del cerro. El cerro cada día se cae más. Hay riesgo de desmoronamiento. ",peligro de desmoronamiento - vehiculo
4/3/2017 14:11:33,Presidente Ortiz KM 5,"Todo el perimetro de mi casa se vio comido por el agua por lo tanto debo realizar una contención  para el agua. La misma, se filtró por los pisos ocasionando un desplazamiento de los mismos viendo necesario ser cambiados. Pero primordialmente, es de urgencia el cordón perimetral para impedir futuras situaciones. Mi patio, está en un bajo así como toda la casa lo que genera mayores inconvenientes. Soy Pensionada, y vivo sola con mi hijo estudiante de 18 Años. Agradezco su ayuda pronta. Tengo fotografías de como quedó la vivienda. A ustedes, Gracias. ",filtraciones - inmediaciones afectadas
4/3/2017 14:11:34,Standard norte,"Entró agua y barro 90cm perdí smart tv una compu,cucheta placard heladera lavarropa otras elementos de materiales más a describir",inundacion con barro - mobiliario - electrodomesticos
4/3/2017 14:12:04,San cayetano,Por cortocircuitos se me quemo la heladera y un televisor por suerte no tuvimos mas daños,electrodomesticos
4/3/2017 14:12:30,Jorge Newbery,Perdidas totales de una pieza. Chapas de techo con goteras. Cercos caido panel de madera partido en 2 ingresa agua por el mismo. Baño inundado de barro al igual que la pieza mucha humedad al estar las piezas mojadas y el piso mojado ,inundacion con barro - filtraciones - edilicio
4/3/2017 14:12:47,Juan XXIII ,"Por el momento sacar el barro del patio para poder ingresar a mi domicilio.  Luego cuando ingresé, denunciare los daños en el interior. ",aislamiento de vivienda - cloacales
4/3/2017 14:12:59,Abel Amaya ,Solicitó chapas y tirantes para techo de dormitorio y comedor es un ambiente ,edilicio - desplome
4/3/2017 14:13:05,Abel Amaya,"Los daños no fueron muchos muebles que cortaremos o cambiaremos.
Yo llené esta solicitud porque esto sucedió más allá de la inclemencia climática sino por la obra de la av Chile que quedó mucho mas alta que nuestras calles.",
4/3/2017 14:13:09,Isidro Quiroga,Paredes húmedas filtración de agua en enchufes. Filtración en techos. Desborde cloacal.,filtraciones - cloacales
4/3/2017 14:14:21,Diadema argentina,Entro agua x la puerta y filtraccion x la piesa de los nenes y el baño.,inundacion con agua - filtraciones
4/3/2017 14:14:48,Pueyrredon,Perdio todo adentro de la casa...lodo,inundacion con barro - mobiliario - electrodomesticos
4/3/2017 14:14:56,Pueyrredon,"Inundación de casa,(heladera, lavarropa,sillones, soumier, microonda, licuadora,tostadora,) inundación del patio (auto)",inundacion con barro - mobiliario - electrodomesticos - vehiculo
4/3/2017 14:15:41,Pueyrredon,Local inundado heladeras rotas mercadería perdida ,inundacion con agua - electrodomesticos
4/3/2017 14:16:41,Maximo Abasolo ,"Dentro agua por el techo se dobló las maderas del cielo raso 
",filtraciones - cloacales
4/3/2017 14:16:49,Bella vista norte,Goteras en el techo más de 10 entro agua.por la puerta y paredes Casa de chapa ,inundacion con agua - filtraciones
4/3/2017 14:16:50,Pueyrredón,"Vereda obstáculizada con 35cm de lodo, ya despejada para la salida de vehículos. Pasó la máquina del lado de la vereda del boulevard.",inmediaciones afectadas
4/3/2017 14:16:57,Pietrobelli,Me quedo la casa colgando se me miraron las camas baño casi totalmente destruido. Casa esta por caerse a punto des precipicio ,peligro de desmoronamiento - perdida total
4/3/2017 14:17:05,Ceferino,Mucho barro desde la calle xq está en bajada cae a mi casa....después goteras y pérdida del televisor....,inundacion con barro - filtraciones - electrodomésticos
4/3/2017 14:18:23,Don bosco sector 22,Motor de frezser quemado colchones mojados perdida total de muebles de computacion con su computadora biblioteca perdida total de ropa frazadas y calsado,electrodomésticos - mobiliario
4/3/2017 14:18:57,El atarceder,No tengo acceso al barrio para ver mi hogar,aislamiento del barrio
4/3/2017 14:19:00,Las flores,"Entro barro dentro de mi domicilio y se perdieron las cosas de su interior. Heladera, lavarropa cama colchon. Cocina.",inundacion con barro - electrodomésticos - mobiliario
4/3/2017 14:19:09,Pueyrredon,"La puerta que es de madera no cierra por el agua, perdi el lavarropas y la heladera",edilicio - electrodomésticos
4/3/2017 14:19:53,Pueyredon,Perdida total colchones frazadas ropa heladera cocina  lavarropa  etc etc,electrodomésticos - mobiliario
4/3/2017 14:20:17,San Cayetano,Techo entro agua y arrazo con mi vereda el agua.,edilicio
4/3/2017 14:20:39,30 de octubre,El agua nos tapo 1 metro la vivienda...las cams de una y dos plazas se mojaron ...muchos muebles tiramos..daños en articulos escolares...y ennlas cerraduras...todavía no conectamos la heladera el termotanque no prende...y el lavarropas tampoco...,inundacion con agua - mobiliario - electridomésticos
4/3/2017 14:20:46,Km5. Presidente ortiz,"Solicitamos la asistencia de la cooperativa para que destapen la cámara que se encuentra en la calle, ya q se llenó, y sus heces y fluidos rebalsando la cloaca de casa dejando entrar mas de 60 cm. ",cloacales
4/3/2017 14:20:59,Centro,Peligro de derrumbe solicito paredon de contencion,peligro de desmoronamiento
4/3/2017 14:21:05,Los Arenales,"Sin luz, gas, ni cloacas ",servicios publicos
4/3/2017 14:21:09,Pueyrredon,"Tengo todavia mucho barro en mi casa, los electrodomesticos se.mojaron todos, entro 1,05 metro de agua y barro entro a mi casa, la calle esta saturada de barro no se puede pasar.... necesitaria una maquina o chupa para lograr sacar todo el barro, a mis padres jubilados se les mojo todo la ropa, los colchones, la despensa de viveres ticontent://media/external/file/96247ene",inundacion con barro - mobiliario - aislamiento
4/3/2017 14:21:12,Las Orquideas km5,Sin energia electrica en domicilio 4 dias. Sin agua potable hace 5 dias. Sin servicio telefonico fijo ni movil de claro . Filtraciones minimas.,servicios publicos
4/3/2017 14:21:38,General Mosconi,Inundacion con barro de toda la casa. Con los vecinos tuvimos que hacer barricadas para desviar el lodo que bajaba por la calle del cerro y barricar porton para que ko siga entrando. Toda la casa se inundo von 30 cm de lodo. Dejamdo inutil electrodomeaticos..no tengo electricidad en una parte de la casa..tuve que quitar alfombras. Solicito una solucon paravla calle cosentino y graf es la tercera vez en 10 años que me inundo..necesitamos contenedores. Y saber si habra crediyos o favilidades para arreglar casa o electrodomesticos.,inundacion con barro - mobiliario - electrodomesticos - servicios publicos
4/3/2017 14:21:57,Juan XXIII,Perdida casi total mutirubro,
4/3/2017 14:21:59,30 de Octubre,El agua nos tapo la salida llego hasta laaltura de los enchufes perdimos cochones televisores  heladera y lavarropa nuestros  calefacyores no funcionan aun,
4/3/2017 14:22:12,Standart norte ,"Pérdida de colchones,  frazadas,  alimentos,  algunos muebles.  ",
4/3/2017 14:22:21,Moure,Me entró agua por el techo pero mucho ,inundacion con agua
4/3/2017 14:22:46,Pietrobelli,Baño colgando colchones mojados tv se me quemo la casa colgando a punto de caerse al precipicio puertas y ventanas muy rotas casi inhabitable ,destruccion total
4/3/2017 14:23:06,San Cayetano,"Filtraciones , mojada de colchones",filtraciones
4/3/2017 14:24:18,Sismografica,"Se agrieto el acceso a mi casa, un sanjon de 4 metros de ancho por 3 de ondo..peligra que mi casa se parta.. ya con esto comenzaron unas grietas.se undio un galpon entero . ",aislamiento - peligro de desmoronamiento
3/4/2017 14:24:35,Stella maris,tengo toda la casa filtrada de agua por las paredes.,filtraciones
3/4/2017 14:24:59,Gesta de malvinas,"Desmoronamiento de cerro,donde hay una grieta natural,rio de agua llegando a la casa",
3/4/2017 14:25:31,Pietrobelli,Peligro de derrumbe,peligro de desmoronamiento
3/4/2017 14:25:47,Gral.Mosconi,Rotura de cloaca. Ingresa al patio de la vivienda. No se puede utilizar el baño.,cloacales
3/4/2017 14:25:53,"Las Orquídeas, Km 5.",Se solicitó Camión Chupa porque no tenemos cloacas y se había rebalzado el pozo séptico. Se junto mucha agua en la calle por no tener canal evacuados.,cloacales
3/4/2017 14:26:00,Juan XXIII,Inundacion completa de vivienda. Comedor cocina y dormitorios. Tapada de cloaca que volvio a dentro de la casa.,inundacion - cloacales
3/4/2017 14:26:39,San Cayetano,Paso de agua en los techos y paredes filtradas,filtraciones
3/4/2017 14:26:49,San cayetano,Piesas y baño llenos d agua,inundacion con agua
3/4/2017 14:26:52,San cayetano,Piesas y baño llenos d agua,inundacion con agua
3/4/2017 14:26:55,Flores,Indundacion en las piezas y no tengo gaz,inundacion con agua - servicios publicos
3/4/2017 14:27:04,30 de octubre,3camas 1somier de 2 plazas juego de sillones sillas placares colchones ropa calzado varios puertas placas,mobiliario
3/4/2017 14:27:24,San cayetano,Colchones muebles sillones techo cielo razón machimbre,edilicio - mobiliario
3/4/2017 14:27:28,pretoleros priv cordon forestal,acumulación de barro en los accesos al domicilio y calle,
3/4/2017 14:27:41,Pueyrredon,"Se perdieron sillas, ropa,la mesa,comida, electrodomésticos,muebles. No hay agua para tomar ni para limpiar,ni productos de limpieza.",mobiliario - electrodomesticos - servicios publicos
3/4/2017 14:27:41,Pueyrredon,"Se perdieron sillas, ropa,la mesa,comida, electrodomésticos,muebles. No hay agua para tomar ni para limpiar,ni productos de limpieza.",mobiliario - electrodomesticos - servicios publicos
3/4/2017 14:28:13,Máximo Abasolo,Filtración de agua en paredes y techo de chapa y el agua q corrió desmoronó gran parte del terreno en parte delantera y trasera del mismo haciendo q todo eso afecte al vecino de abajo,filtraciones
3/4/2017 14:28:32,San martin,Materiales cama electrodomestico,mobiliario - electrodomesticos
3/4/2017 14:28:37,Laprida,El agua colapso el techo partiendo los tirantes ..se inundo toda la parte del comedor y piezas..nececito ayuda para poder rehacer el techo..,inundacion con agua - edilicio
3/4/2017 14:28:40,Stella Maris,Daños totales el agua llego al metro veinte perdidad de placares chifoñer mesas de luz las sillas la heladeras escritorios biblioteca placar de los niños somier del nene cuna de la beba . Se levanto todo el piso . El labarropa. Todos los electrodomesticos q el mueble donde estaban se dio vuelta . La ropa solo lo puesto nos quedo . Ropa de blanco no se pudo labar por q el agua q entro era mas de cloaca . Los zapatos todos . La casa era prefabricada ya no sirve se abrio por todos lados se simbro . Asi estamos es triste pero no queda otra que abandonar esta casa ya es inhabitable estamos en busca de un hogar lo mas rapido posible por mi nenes. Esto nos destruyo todo . Volver a empezar va a ser dificil pero se puede .,destruccion total
3/4/2017 14:28:40,Stella Maris,Daños totales el agua llego al metro veinte perdidad de placares chifoñer mesas de luz las sillas la heladeras escritorios biblioteca placar de los niños somier del nene cuna de la beba . Se levanto todo el piso . El labarropa. Todos los electrodomesticos q el mueble donde estaban se dio vuelta . La ropa solo lo puesto nos quedo . Ropa de blanco no se pudo labar por q el agua q entro era mas de cloaca . Los zapatos todos . La casa era prefabricada ya no sirve se abrio por todos lados se simbro . Asi estamos es triste pero no queda otra que abandonar esta casa ya es inhabitable estamos en busca de un hogar lo mas rapido posible por mi nenes. Esto nos destruyo todo . Volver a empezar va a ser dificil pero se puede .,destruccion total
3/4/2017 14:28:42,Pueyrredon,perdí una heladera una cama dos chifonier dos placares un ventilador una pantalla de calefacción otro artefacto de calefacción electrica,mobiliario - electrodomesticos
3/4/2017 14:29:17,Barrio san martin oeste.km3,Filtraciones en techos Goteras.,filtraciones
3/4/2017 14:29:44,Maximo Abasolo,Colchones algunos muebles.,mobiliario
3/4/2017 14:30:05,Stella Maris,"Perdida de puertas , paredes , heladera , lavarropas, muebles , placares y somier de colchones",mobiliario - electrodomesticos
