num_pers,nombre,tipo,barrio,calle,num_calle,telefono,cp,email,email2,sitio_web,observaciones,fecha
2789,ASOCIACI&OacuteN PUNTA CUEVAS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BOULEVARD BROWN,3777,(0280) 154562166,9120,puntacuevas@gmail.com,,www.facebook.com/AsociacionPuntaCuevas/,PERSONERIA JURIDICA NUM. 2789,
0,ASOCIACI&OacuteN SAN DAVID,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,SAN MARTIN,88,(0280) 4427595,9100,trelewsandavid@yahoo.com.ar,,www.asociacionsandavid.com.ar/index1.htm,01-feb,
0,CASA DE GALICIA VOCES DA NOSA TERRA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,TIERRA DEL FUEGO Y VILLARINO,669,(0280) 4450545,9120,,,,,1/02/2016
0,CENTRO ARGENTINO ARABE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ESPA&NtildeA,1245,(0280) 4473012,9120,turcob_balut@hotmail.com,,,,1/02/2016
4032,CENTRO CULTURAL CARACOL,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ESPA&NtildeA,165,(0280) 154655133,9120,caracolcentrocultural@gmail.com,,,,1/02/2016
3486,CENTRO CULTURAL MANOS UNIDAS DEL SUR,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BARRIO COMERCIO IV CASA 69,S/N,(0280) 154265641,9120,,,,PERSONERIA JURIDICA NUM. 3486,
0,CENTRO CULTURAL PATAG&OacuteNICO DE ARTES VISUALES (CUPAVI TEATRO DE LA ROSADA),AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,PAULINA ESCARD&Oacute,187,(0280) 4472073 - 154403381,9120,bagnato.92@hotmail.com,,www.facebook.com/El-Teatro-de-la-Rosada-263974936973711/?ref=br_rs,,
2111,CENTRO CULTURAL ROSACRUZ AMOR LUZ DEL GOLFO NUEVO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,QUINTAS DEL MIRADOR,EL JARIYAL,2154,(0280) 4882272,9120,,,www.facebook.com/Centro-Cultural-Rosacruz-AMORC-Luz-del-Golfo-Nuevo-201594103326459/?fref=ts,PERSONERIA JURIDICA NUM. 2111,
3188,CENTRO DE DIFUSI&OacuteN CULTURAL ARGENTINO &AacuteRABE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,LOS OLMOS,FRAY LUIS BELTR&AacuteN,694,(0280) 154697232 / 4424502,9100,juliaritachaktoura@yahoo.com.ar,,,01-feb,1/02/2016
2028,CENTRO DE RESIDENTES BOLIVIANOS COPACABANA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AV. DOMECQ GARCIA NORTE,423,(0280) 154558955,9120,cb.copabana@hotmail.com,,www.facebook.com/Colectividad-Boliviana-Copacabana-198053273673812/,2028,
3377,CENTRO DE RESIDENTES BOLIVIANOS WI&NtildeAY,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AMERICA,925,(0280) 4455689 - 154205649/ 154218334,9120,,,,PERSONERIA JURIDICA NUM. 3377,1/02/2016
4107,CENTRO DE RESIDENTES CATAMARQUE&NtildeOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ALBERTO WILLIAMS ENTRE SIMON DE ALCAZABA Y LUIS MARIA CAMPOS,,,9120,,,,,
1413,CENTRO DE RESIDENTES CHILENOS DEL VALLE DEL CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AVENIDA DE LOS TRABAJADORES,841,(0280) 4423072 (0280) 154407376,9100,marioaguilar@speedy.com.ar,,,,1/02/2016
1216,CENTRO DE RESIDENTES JUJE&NtildeOS EN PUERTO MADRYN,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,PETRASANTAMARIA Y SAN LORENZO,S/N,(0280) 4451241 / 4720230,9120,mabel_21@hotmail.com,,,1216,1/02/2016
3580,CENTRO VASCO  ETORRITAKOENGATIK ,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ARENALES,37,(0280) 154407244 / 4455527,9120,andreselorriaga77@gmail.com,nicfago@hotmail.com,www.euskaletxeak.net,PERSONERIA JURIDICA NUM. 3580,1/02/2016
1594,CENTRO VASCO DEL NORESTE DEL CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,FRACCION 2 LOTE 5,325,(0280) 4434395,9100,,,,01-feb,1/02/2016
152,C&IacuteRCULO SOCIAL Y CULTURAL RAWSON,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BELGRANO Y LEWIS JONES,S/N,(0280) 154666033,9103,santiagohheron@hotmail.com,,,,1/02/2016
3761,CLUB DE RESIDENTES CUYANOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,MANUEL DE VILLAR,LOPEZ Y PLANES,336,,9120,,,,,1/02/2016
2659,CLUB HIPICO Y CENTRO TRADICIONALISTA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,COLON,774,(0280) 4455214/ 154389674/ 154414298,9120,pascuariello@hotmail.com,,,PERSONERIA JURIDICA NUM. 2659,3/02/2016
0,CONSULADO DE ITALIA EN PUERTO MADRYN,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,28 DE JULIO,129,(0280) 4471318/ 4453369,9120,scicolone@infovia.com.ar,,,,1/02/2016
1761,"FUNDACI&OacuteN CIC, CERTAMEN INTERNACIONAL DE COROS",AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,9 DE JULIO,655,(0280) 4491353 - (0280) 154664150,9100,cictrelew@yahoo.com.ar,aledangara@yahoo.com.ar,,01-feb,1/02/2016
0,FUNDACI&OacuteN ECOCENTRO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,JULIO VERNE,3784,(0280) 4457470/71/72/73,9120,mar@ecocentro.org.ar,,www.ecocentro.org.ar,,1/02/2016
3736,FUNDACI&OacuteN HACERCARTE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,SANTA CRUZ,750,(0280) 154578920,9120,hacercartefundacion@gmail.com,,www.facebook.com/Fundacion-Hacercarte-550538998291106/?fref=ts,PERSONERIA JURIDICA NUM. 3736,
0,METATEATRO ASOCIACI&OacuteN CIVIL DE PRODUCCI&OacuteN Y DESARROLLO DE ACTIVIDADES TEATRALES,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,LOS OLMOS,,,(0280) 4430447 / 154669533 / 154682176,9100,salametateatro@gmail.com,,,01-feb,1/02/2016
0,MURGA LOS NONOS MURGUEROS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,VITO ROCA Y ALBARRACIN NORTE,S/N,(0280) 4472239,9120,,,losnonosmurgueros.blogspot.com.ar,,
0,MUSEO DE CIENCIAS NATURALES Y OCEANOGRAFICO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,DON BOSCO,DOMEC GARC&IacuteA Y MEN&EacuteNDEZ,S/N,(0280) 4451139,9120,museopujolmadryn@gmail.com.ar,,www.facebook.com/MuseoProvincialDeCienciasNaturalesYOceanografico/?fref=ts,,
189,RADIO CLUB LV 1WP TRELEW,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,BME. MITRE,282,(0280) 154695398,9100,radioclubtrelew@yahoo.com.ar,,,01-feb,1/02/2016
0,SOCIEDAD ESPA&NtildeOLA DE SOCORROS MUTUOS DE TRELEW,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,25 DE MAYO,237,(0280) 4434336/ 154663530,9100,,,,,1/02/2016
23,SOCIEDAD ITALIANA DE SOCORROS MUTUOS DUCA DEGLI ABRUZZI,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,28 DE JULIO,129,(0280) 4471318/ 4455653,9120,auditorium@madryn.com,,,23,1/02/2016
,ASOCIACI&OacuteN ITALIANA DE SOCORROS MUTUOS DE RAWSON,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,PEDRO MARTINEZ,9, (0280) 154662310,9103,,,,,1/02/2016
1348,AGRUPACI&OacuteN GAUCHA TREVELIN,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,SARMIENTO,483,(02945) 480032/ 480016,9203,,,,1348,2/02/2016
0,ASOCIACI&OacuteN ALEMANA DTUTSCH,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,,,(0297) 4482271/ 154214822,9000,lilianakalc@gmail.com,,www.facebook.com/asociacion.rivadavia?fref=ts,,
1637,ASOCIACI&OacuteN B&UacuteLGARA DE COMODORO RIVADAVIA  KIRIL Y METODII ,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AMEGHINO,1134, (0297) 156252299,9000,,,,1637,2/02/2016
2066,ASOCIACI&OacuteN CROATA HRVATSKI DOM,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,YRIGOYEN,3428, (0297) 4031416,9000,familiabatinic@speedy.com.ar,,,2066,2/02/2016
0,ASOCIACI&OacuteN ESPA&NtildeOLA DE SOCORROS MUTUOS COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BARTOLOME MITRE,860,(0297) 4461228 / 4474627/ (0297)6219408,9000,,,,,
0,ASOCIACI&OacuteN ITALIANA DE SOCORROS MUTUOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BELGRANO,845,(0297) 4063249/ 154001182 ,9000,berardi_enzo@yahoo.com.ar,,,,2/02/2016
0,ASOCIACI&OacuteN MUTUAL EUSKAL ECHEA DE SOCORROS MUTUOS DE COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ALSINA,446,(0297) 4474999,9000, vascoscr@yahoo.com.ar ,,,,2/02/2016
0,ASOCIACI&OacuteN PORTUGUESA DE BENEFICIENCIA Y SOCORROS MUTUOS DE COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BELGRANO,756,(0297)  4475424,9000,asocportuguesa@speedy.com.ar,,,,2/02/2016
1102,CASA DE ANDALUCIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,FRANCISCO BEHR ,775,(0297) 4557976/ 4484589/ 156248215,9000,candaluciacr@infovia.com.ar,,,1102,2/02/2016
11,CENTRO ANDALUZ,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AV. POLONIA,743,(0297) 4475470,9000,,,,11,2/02/2016
76,CENTRO ASTURIANO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,JORGE NEWBERY,ASTURIAS,650,(0297) 4464162 ,9000,,,,76,2/02/2016
0,CENTRO CATAMARQUE&NtildeO MUTUAL Y CULTURAL,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,SAN MARTIN,847,(0297) 156245413,9000,,,,,2/02/2016
0,CENTRO GALLEGO DE COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ESPA&NtildeA,666,(0297) 447506,9000,,,,,2/02/2016
2138,FEDERACION DE COMUNIDADES EXTRANJERAS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,GENERAL MOSCONI,YRIGOYEN,3428,(0297) 4557424/ (0297)154767260,9000,fedecoexcr@gmail.com,,,2138,2/02/2016
2718,FOGOLAR FURLAN COSTA Y VALLE DEL CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,MARCONI,495,,9100,,,,,2/02/2016
3480,ASOCIACI&OacuteN CULTURAL PATAGONICA EL MATRERO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,MITRE,2105,,9100,,,,,2/02/2016
3780,RADIO PENINSULA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AV. DE LAS BALLENAS,S/N,,91214,,,,,2/02/2016
3815,AMIGOS DE LA ORQUESTA INFANTO JUVENIL DEL BARRIO INTA ,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,URUGUAY NORTE,25,,9100,,,,,2/02/2016
3871,ASOCIACI&OacuteN AMIGOS DEL BOSQUE PETRIFICADO DE SARMIENTO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,FELIPE CHILO,265,,9020,,,,,2/02/2016
0,ASOCIACI&OacuteN ESPA&NtildeOLA DE SOCORROS MUTUOS GAIMAN CHUBUT,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AV. EUGENIO TELLO,687, (0280) 4491510,9105,,,,,3/02/2016
0,ASOCIACI&OacuteN ESPA&NtildeOLA DE SOCORROS MUTUOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,RIVADAVIA,740,(02945) 451635/ 418362/680957,9200,asociacion.esm@hotmail.com,,www.facebook.com/Asociaci&oacuten-Espa&ntildeola-de-Socorros-Mutuos-Esquel-717749778289848/?fref=t,16/05/2002,
861,ASOCIACI&OacuteN SIRIO LIBANESA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,25 DE MAYO,369,(02945) 451729,9200,,asociacionsiriolibanesa@hotmail.com,www.facebook.com/asociacion.siriolibanesa?fref=ts,16/05/2016,
153,SOCIEDAD ITALIANA DE ESQUEL,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,DON BOSCO,ROQUE SAENZ PE&NtildeA,868,(02945) 453747,9200,esquelsociedaditaliana@hotmail.com,,www.facebook.com/pages/Sociedad-Italiana-De-Esquel/756320471044901?fref=ts,16/05/2016,
0,AGRUPACION DE GAUCHOS PATAGONICOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ESTADOS UNIDOS,315,,9000,,,,1/07/2016,6/07/2016
0,AGRUPACION GAUCHA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,PASTOR SCHNEIDER,750,,9000,,,,1/07/2016,
2396,AGRUPACI&OacuteN GAUCHA DESPERTANDO TRADICIONES,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,,S/N,,91214,,,,1/07/2016,6/07/2016
0,ASOCIACI&OacuteN AMIGOS DEL MUSEO DEL PETR&OacuteLEO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,GENERAL MOSCONI,S/N,(0297)  4559558,9000,museodelpetroleo@gmail.com,,,1/07/2016,6/07/2016
2313,ASOCIACI&OacuteN BRASILERA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,KM 3,STROBEL,4162,(0297) 4550323/ 154302652,9000,ricardopascualperalta@gmail.com,,,1/07/2016,
0,ASOCIACI&OacuteN CHECOS Y ESLOVACOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,,S/N,(0297) 4850132,9000,,,,"01/07/2016 Sin actividad hace m&aacutes de 5 a&ntildeos, se quedaron sin gente. 0297 155945674 Ex-miembro; 0297 4850132, no pertenece a la asociaci&oacuten.",
1676,ASOCIACI&OacuteN CIVIL DE LA COLECTIVIDAD BOLIVIANA DE COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,MALVINAS,896,(0297) 4460796,9000,gabrielvaldiviavargas@yahoo.com.ar,,,1/07/2016,6/07/2016
3018,ASOCIACI&OacuteN CIVIL PATAGONIAN YOUTH EXCHANGE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,SAN MART&IacuteN,1584,,9000,,,,1/07/2016,6/07/2016
3108,ASOCIACI&OacuteN CIVIL SIN FINES DE LUCRO LA GALERA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ALBERDI,480,,9100,asociacioncivillagalera@gmail.com,,,1/07/2016,6/07/2016
2979,ASOCIACI&OacuteN CIVIL Y CULTURAL - PROYECTO NUEVA &EacutePOCA CULTURA Y EDUCACI&OacuteN,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,28 DE JULIO,218,,91072,,,,1/07/2016,6/07/2016
291,ASOCIACI&OacuteN COMODORO RIVADAVIA DE INTERCAMBIO CULTURAL ARGENTINO NORTEAMERICANO - (ACRICANA),AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ESCALADA,1567,(0297) 4466311/ 4473956 / 4472483,9000,acricana@infovia.com.ar,,www.acricana.com,1/07/2016,6/07/2016
2024,ASOCIACI&OacuteN CULTURAL EL PUENTE,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,MARIANO MORENO Y PEDRO MARTINEZ,S/N,(0280) 154670614,9103,,,,1/07/2016,6/07/2016
1316,ASOCIACI&OacuteN DE LA COLECTIVIDAD SUDAFRICANA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,RIVADAVIA,730,(0297) 4453304,9000,mblackie@infovia.com.ar,,,1/07/2016,6/07/2016
2976,ASOCIACI&OacuteN DE PADRES BANDA EXPERIMENTAL MAGDALENA ROSSI,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,SAN MART&IacuteN Y LUIS COSTA,S/N,,9103,asociacionpadresbandaexppolmagrossi.blogspot.com.ar,,,1/07/2016,6/07/2016
0,ASOCIACI&OacuteN DE PROVINCIANOS ARGENTINOS INTEGRADOS A LA PATAGONIA (APAIP),AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,KM 3,JOAQUIN LOPEZ,715,(0297) 44500147,9000,asociacionprovincianos@yahoo.com.ar,,,01/07/2016 Margarita D&iacuteaz- Tesorera Cel. 154147839,
181,ASOCIACI&OacuteN GALESA DE EDUCACI&OacuteN Y CULTURA - CAMWY,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,GAIMAN,S/N,,9105,,,,1/07/2016,6/07/2016
1488,ASOCIACI&OacuteN GERMANA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,9 DE JULIO,844,(0297) 4451048,9000,asociaciongermana_criv@gmx.net,,,1/07/2016,6/07/2016
0,ASOCIACI&OacuteN HELENICA DE SOCORROS MUTUOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ITALIA,722,,9000,,,,1/07/2016,6/07/2016
0,ASOCIACI&OacuteN ISRAELITA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,ATAHUALPA YUPANQUI,7480,(0297) 4441471,9000,regidoc@hotmail.com,,,1/07/2016,6/07/2016
2057,ASOCIACI&OacuteN POLONESA DOM POLSKI,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,INGENIERO HUERGO,831,(0297) 4462902/154289315,9000,chako@uolsinectis.com.ar,,,6/07/2016,6/07/2016
174,ASOCIACI&OacuteN SAN DAVID,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,DIVINA PROVIDENCIA,EWALD FLAGEL,475,(0297) 4557011/ 154054470,9000,asociacionsandavidcr@gmail.com,,,6/07/2016,
0,ASOCIACI&OacuteN SIRIO LIBANESA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,NEWBERY,RIVADAVIA,1872,(0297) 4475466,9000,yamilachible@gmail.com,,,6/07/2016,6/07/2016
0,ASOCIACI&OacuteN YUGOESLAVA DE SOCORROS MUTUOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,BELGRANO,708,(0297) 4470000,9000,,,,6/07/2016,6/07/2016
2978,BANDA INFANTO JUVENIL POLICIAL MUNICIPAL,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,AVENIDA ANT&AacuteRTICA,S/N,,9103,,,,6/07/2016,6/07/2016
1441,CENTRO DE RESIDENTES CHILENOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,PUEYRRED&OacuteN,TRIPULACI&OacuteN GANDUL,655,(0297) 154526121,9000,reschilenos_comodororivadavia@hotmail.com,,,"06/07/2016 (0297) 154526121 es el cel. del ex-presidente, piden que se conserve hasta que pasen m&aacute n&uacutemeros.",
1797,CENTRO DE RESIDENTES LITORALE&NtildeOS Y SUS AMIGOS DE COMODORO RIVADAVIA,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,LOS FERROVIARIOS,1952,,9000,,,,6/07/2016,6/07/2016
2056,CENTRO DE RESIDENTES PARAGUAYOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,JUAN XXIII,CARRERO PATAG&OacuteNICO,3416,(0297) 4481804,9000,cerepacori@yahoo.com.ar,,,6/07/2016,6/07/2016
0,CENTRO ESPA&NtildeOL SOCIAL Y MUTUAL DE RAWSON,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,RIVADAVIA,330,,9103,,,,6/07/2016,6/07/2016
1937,CENTRO SOCIAL Y CULTURAL DE RESIDENTES TINOGASTE&NtildeOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,KM 3,AVDA. TEHUELCHES,225,,9000,,,,6/07/2016,6/07/2016
2219,C&IacuteRCULO ANDALUZ CULTURAL Y RECREATIVO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,CHILE,35,(0280) 4431436,9100,,,andalucestrelew.blogspot.com,6/07/2016,2/03/2016
3150,COLECTIVIDAD BOLIVIANA TINCUNACU,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,30 DE OCTUBRE,EDIFICIO 66 DPTO. F SECTOR 7,S/N,(0297) 156210007,9000,peregrinoenlapatagonia@hotmail.com.ar,,,6/07/2016,6/07/2016
2072,COLECTIVIDAD DE ESTADOS INDEPENDIENTES EX SOVI&EacuteTICOS,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,SAN ISIDRO LABRADOR,LAOREANA FERRARI,2203,(0297) 4461297,9000,ncolisnechenco@bolland.com.ar,,,6/07/2016,6/07/2016
0,CUERPO DE BAILE FOGON DEL SUR,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,BARRIO MORENO,ORTIZ OCAMPO,147,(0297) 4550159/ 155178478/ 155178477,9000,alelily0305@hotmail.com,,,6/07/2016,6/07/2016
1632,PRIMER CENTRO PAISANO,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,TOMAS GUIDO,38,,9100,,,,6/07/2016,6/07/2016
1527,TEATRO DEL SUR,AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,SAAVEDRA,844,,9000,,,,6/07/2016,6/07/2016
0,"ASOCIACI&OacuteN GALESA, CULTURAL, SOCIAL Y ART&IacuteSTICA 16 DE OCTUBRE",AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,CENTRO,RIVADAVIA,1065,02945 450235,9200,,,,6/07/2016,6/07/2016
0,"FUNDACION CIC, CERTAMEN INTERNACIONAL DE COROS",AGRUPACI&OacuteN DE COLECTIVIDADES- CULTURA,,Hip&Oacutelito Yrigoyen,891,(0280) 154366004 / 154366007,9105,info@fundacioncic.org,cictrelew@yahoo.com.ar,www.eisteddfodpatagonia.com/client-item/fundacion-cic/,6/07/2016,
3292,ALIBUEN PATAGONIA ASOCIACI&OacuteN CIVIL,ASISTENCIA Y PROMOCI&OacuteN SOCIAL,,BELGRANO,2987,,9100,,,,,2/02/2016
3869,BERACA ASOCIACI&OacuteN CIVIL,ASISTENCIA Y PROMOCI&OacuteN SOCIAL,,CONSTITUCI&OacuteN,4334,(0280) 154868716/ 154207877,9100,joseduarte324@gmail.com,,,,2/02/2016
4015,CENTRO COMUNITARIO 28 DE JULIO,ASISTENCIA Y PROMOCI&OacuteN SOCIAL,,CHACRA 338,S/N,,91071,,,,,2/02/2016
2567,ASOCIACI&OacuteN DE COSMETOLOGAS Y ESTETICISTAS DE LA PROVINCIA DEL CHUBUT,ASOCIACI&OacuteN PROFESIONAL,,9 DE JULIO,551,,9100,,,,,2/02/2016
1322,ASOCIACI&OacuteN AUSTRAL DE ANESTESIA ANALGESIA Y REANIMACI&OacuteN,ASOCIACI&OacuteN PROFESIONAL,,PASAJE SANTA CRUZ,478,(0280) 4421920,9100,austanes@infovia.com.ar,,,01-feb,1/02/2016
1322,ASOCIACI&OacuteN AUSTRAL DE ANESTESIOLOG&IacuteA,ASOCIACI&OacuteN PROFESIONAL,CENTRO,ALSINA,590,(0297) 4444882,9000,suranest@speedy.com.ar,,,29/06/2016,29/06/2016
